,Acuracia,Especificidade,Similaridade,grupo
269,0.75,0.8695652173913043,0.7586256128768792,CV
270,0.8055555555555556,0.84,0.7762349196000551,CV
271,0.6875,0.5714285714285714,0.8488382153210785,CV
272,0.75,0.4,0.8401388774085707,CV
273,0.5,0.0,0.8889155978893273,CV
274,0.6875,0.6666666666666667,0.7974439174854218,CV
275,0.8125,1.0,0.8851517589950084,CV
276,0.8125,1.0,0.8617507004860413,CV
277,0.6875,0.5,0.839392962531925,CV
278,0.8,0.6666666666666667,0.8108848540793832,CV
279,0.625,0.4,0.781785310430516,CV
280,0.6875,0.5714285714285714,0.8167949535234437,CV
281,0.8125,0.8,0.6959852188348552,CV
282,0.875,0.0,0.884053437733959,CV
283,0.8611111111111112,0.9565217391304348,0.9192756774136568,CV
284,0.5625,1.0,0.8448014090919725,CV
285,0.75,0.5,0.8604954438756023,CV
286,0.625,0.0,0.7881603609443287,CV
287,0.7755102040816326,0.8611111111111112,0.828236445561349,CV
288,0.8055555555555556,0.84,0.712474464815195,CV
289,0.625,0.7142857142857143,0.8816620300447741,CV
290,0.52,0.5714285714285714,0.8249579113843054,CV
291,0.875,0.0,0.8277650282805242,CV
292,0.64,0.6666666666666667,0.8825378564286603,CV
293,0.6875,1.0,0.7889818763544607,CV
294,0.6875,0.5,0.8279079284330849,CV
295,0.6875,0.5,0.8658089785895597,CV
296,0.7346938775510204,0.8333333333333334,0.7030201192964489,CV
297,0.7551020408163265,0.8157894736842105,0.7961132433870801,CV
298,0.6875,0.5714285714285714,0.8488382153210785,CV
299,0.84375,0.8867924528301887,0.8406055240472927,CV
300,0.8125,0.5,0.8439957151095542,CV
301,0.84,0.8333333333333334,0.751903704662534,CV
302,0.875,1.0,0.7824582414744365,CV
303,0.88,0.9090909090909092,0.8192794869521737,CV
304,0.84,0.9090909090909092,0.8103069302271354,CV
305,0.8163265306122449,0.8611111111111112,0.7803185623984152,CV
306,0.75,0.4,0.7641607199008701,CV
307,0.72,0.75,0.8360460766979309,CV
308,0.8775510204081632,0.8947368421052632,0.6708869395913784,CV
309,0.875,0.0,0.9367659069225724,CV
310,0.6666666666666666,0.7391304347826086,0.7913169925382065,CV
311,0.6875,1.0,0.9259416862330891,CV
312,0.875,0.5,0.8260869565217391,CV
313,0.6875,0.0,0.8215003668073294,CV
314,0.76,0.8333333333333334,0.8237306052901903,CV
315,0.375,0.0,0.729080682761043,CV
316,0.6875,0.5714285714285714,0.8167949535234437,CV
317,0.7777777777777778,0.8,0.9035079029052512,CV
318,0.875,0.0,0.8326663997864532,CV
319,0.8055555555555556,0.8260869565217391,0.7792489433182765,CV
320,0.625,1.0,0.7172291775779154,CV
321,0.8125,0.5,0.8125037776436337,CV
322,0.625,0.5,0.8290217434600903,CV
323,0.75,0.8695652173913043,0.8182235610872907,CV
324,0.375,0.4,0.8837824554557692,CV
325,0.8125,0.7142857142857143,0.8849750154846387,CV
326,0.5,0.0,0.8401388774085707,CV
327,0.875,1.0,0.9324058233304956,CV
328,0.6875,0.6666666666666667,0.7985685229862601,CV
329,0.8333333333333334,0.9,0.9285951175245446,CV
330,0.8888888888888888,0.9545454545454546,0.7933767329057524,CV
331,0.875,0.5,0.8412955563689518,CV
332,0.78125,0.8431372549019608,0.7557794199669435,CV
333,0.875,1.0,0.8875,CV
334,0.75,0.5714285714285714,0.8921320713901825,CV
335,0.8765432098765432,0.8857142857142857,0.756978119245116,CV
336,0.72,0.7272727272727273,0.8805874420954336,CV
337,0.6875,0.3333333333333333,0.8582786383559511,CV
338,0.5625,1.0,0.8130338052781897,CV
339,0.75,0.5,0.9011289459621018,CV
340,0.6875,0.0,0.7785513736288122,CV
341,0.8395061728395061,0.8970588235294118,0.7716630855015505,CV
342,0.8125,0.8679245283018868,0.7863729095926286,CV
343,0.7777777777777778,0.7777777777777778,0.728422786026054,CV
344,0.8163265306122449,0.868421052631579,0.8099531445617965,CV
345,0.7755102040816326,0.8571428571428572,0.9248043889897672,CV
346,0.75,0.3333333333333333,0.7953864780766137,CV
347,0.625,1.0,0.8514618813309706,CV
348,0.6875,0.5,0.8255045732832186,CV
349,0.75,0.0,0.8318953109791632,CV
350,0.8333333333333334,0.9130434782608696,0.8182235610872907,CV
351,0.8055555555555556,0.84,0.7963968655636929,CV
352,0.9375,0.8571428571428572,0.8717797887081347,CV
353,0.875,0.6,0.8401388774085707,CV
354,0.8611111111111112,0.9090909090909092,0.9468641529479986,CV
355,0.6875,0.6666666666666667,0.7974439174854218,CV
356,0.75,1.0,0.8646661334676642,CV
357,0.8125,0.5,0.8757605390397141,CV
358,0.75,0.5,0.8634657835526911,CV
359,0.796875,0.8235294117647058,0.7618856860827077,CV
360,0.8,0.7857142857142857,0.7930394470805664,CV
361,0.625,0.4285714285714286,0.8658966363457989,CV
362,0.625,0.1999999999999999,0.7773341405168513,CV
363,0.76,0.8181818181818181,0.857688611828631,CV
364,0.8125,0.6666666666666667,0.8795180722891566,CV
365,0.6875,1.0,0.8859916627898744,CV
366,0.6875,0.0,0.8562792121486734,CV
367,0.8125,0.5,0.8573372867375418,CV
368,0.8163265306122449,0.8888888888888888,0.8061501403463797,CV
369,0.78125,0.8490566037735849,0.7577900036653772,CV
