,Número da Trajetória,Overlap,Tempo 1,Tempo 2,Tempo 3,ID
183,4,0.5,2019-01-15 17:59:00.642004,2019-01-15 17:59:00.642004,2019-01-15 17:59:15.649003,ID_17
184,5,0.5,2019-01-15 18:00:24.233996,2019-01-15 18:00:23.988997,2019-01-15 18:00:39.242002,ID_17
185,6,0.5,2019-01-15 18:01:49.820004,2019-01-15 18:01:49.575004,2019-01-15 18:02:04.827003,ID_17
186,7,0.5,2019-01-15 18:03:13.294999,2019-01-15 18:03:13.294999,2019-01-15 18:03:28.301003,ID_17
187,8,0.5,2019-01-15 18:04:36.133998,2019-01-15 18:04:35.888998,2019-01-15 18:04:51.142004,ID_17
188,9,0.5,2019-01-15 18:06:00.850004,2019-01-15 18:06:00.850004,2019-01-15 18:06:15.855002,ID_17
189,1,0.0,2019-01-15 17:29:14.481002,2019-01-15 17:29:14.481002,2019-01-15 17:29:29.498995,ID_17
190,2,0.0,2019-01-15 17:30:40.758999,2019-01-15 17:30:40.514995,2019-01-15 17:30:55.768996,ID_17
191,3,0.0,2019-01-15 17:32:07.093001,2019-01-15 17:32:06.848001,2019-01-15 17:32:22.099005,ID_17
192,4,0.0,2019-01-15 17:33:31.670001,2019-01-15 17:33:31.670001,2019-01-15 17:33:46.675995,ID_17
193,5,0.0,2019-01-15 17:34:58.881005,2019-01-15 17:34:58.881005,2019-01-15 17:35:13.888004,ID_17
194,6,0.0,2019-01-15 17:36:23.335003,2019-01-15 17:36:23.335003,2019-01-15 17:36:38.342002,ID_17
195,7,0.0,2019-01-15 17:37:46.547999,2019-01-15 17:37:46.547999,2019-01-15 17:38:01.554999,ID_17
196,8,0.0,2019-01-15 17:39:12.746999,2019-01-15 17:39:12.503005,2019-01-15 17:39:27.753998,ID_17
197,9,0.0,2019-01-15 17:40:41.221001,2019-01-15 17:40:41.221001,2019-01-15 17:40:56.227005,ID_17
198,1,0.25,2019-01-15 17:42:09.924995,2019-01-15 17:42:09.679000,2019-01-15 17:42:24.930999,ID_17
199,2,0.25,2019-01-15 17:43:38.755996,2019-01-15 17:43:38.755996,2019-01-15 17:43:53.761004,ID_17
200,3,0.25,2019-01-15 17:45:04.205000,2019-01-15 17:45:04.205000,2019-01-15 17:45:19.211004,ID_17
201,4,0.25,2019-01-15 17:46:28.408999,2019-01-15 17:46:28.408999,2019-01-15 17:46:43.415998,ID_17
202,5,0.25,2019-01-15 17:47:52.369004,2019-01-15 17:47:52.369004,2019-01-15 17:48:07.376999,ID_17
203,6,0.25,2019-01-15 17:49:17.584997,2019-01-15 17:49:17.584997,2019-01-15 17:49:32.589995,ID_17
204,7,0.25,2019-01-15 17:50:46.539001,2019-01-15 17:50:46.539001,2019-01-15 17:51:01.546996,ID_17
205,8,0.25,2019-01-15 17:52:14.243001,2019-01-15 17:52:13.998997,2019-01-15 17:52:29.250001,ID_17
206,9,0.25,2019-01-15 17:53:42.335000,2019-01-15 17:53:42.335000,2019-01-15 17:53:57.344001,ID_17
207,1,0.5,2019-01-15 17:55:08.799005,2019-01-15 17:55:08.799005,2019-01-15 17:55:23.804998,ID_17
208,2,0.5,2019-01-15 17:56:33.255004,2019-01-15 17:56:33.010004,2019-01-15 17:56:48.262004,ID_17
209,3,0.5,2019-01-15 17:58:02.586998,2019-01-15 17:58:02.586998,2019-01-15 17:58:17.593002,ID_17
210,4,0.5,2019-01-15 17:59:28.045999,2019-01-15 17:59:28.045999,2019-01-15 17:59:43.052003,ID_17
211,5,0.5,2019-01-15 18:00:53.017003,2019-01-15 18:00:52.772003,2019-01-15 18:01:08.022997,ID_17
212,6,0.5,2019-01-15 18:02:17.854996,2019-01-15 18:02:17.609996,2019-01-15 18:02:32.863001,ID_17
213,7,0.5,2019-01-15 18:03:40.699004,2019-01-15 18:03:40.699004,2019-01-15 18:03:55.704998,ID_17
214,8,0.5,2019-01-15 18:05:04.166998,2019-01-15 18:05:03.923004,2019-01-15 18:05:19.173998,ID_17
215,9,0.5,2019-01-15 18:06:29.500995,2019-01-15 18:06:29.500995,2019-01-15 18:06:44.507995,ID_17
216,1,0.0,2019-01-15 17:29:43.187002,2019-01-15 17:29:43.187002,2019-01-15 17:29:58.196003,ID_17
217,2,0.0,2019-01-15 17:31:09.540004,2019-01-15 17:31:09.295004,2019-01-15 17:31:24.545998,ID_17
218,3,0.0,2019-01-15 17:32:35.868996,2019-01-15 17:32:35.623997,2019-01-15 17:32:50.874004,ID_17
219,4,0.0,2019-01-15 17:33:59.574004,2019-01-15 17:33:59.574004,2019-01-15 17:34:14.581004,ID_17
220,5,0.0,2019-01-15 17:35:28.534002,2019-01-15 17:35:28.534002,2019-01-15 17:35:43.539996,ID_17
221,6,0.0,2019-01-15 17:36:50.747004,2019-01-15 17:36:50.747004,2019-01-15 17:37:05.752998,ID_17
222,7,0.0,2019-01-15 17:38:14.447999,2019-01-15 17:38:14.447999,2019-01-15 17:38:29.454998,ID_17
223,8,0.0,2019-01-15 17:39:41.918999,2019-01-15 17:39:41.673003,2019-01-15 17:39:56.927004,ID_17
224,9,0.0,2019-01-15 17:41:10.873998,2019-01-15 17:41:10.873998,2019-01-15 17:41:25.880002,ID_17
225,1,0.25,2019-01-15 17:42:39.450001,2019-01-15 17:42:39.205002,2019-01-15 17:42:54.457001,ID_17
