Unnamed: 0,ID,Número da Trajetória,Overlap,Sequência Trajetória,N pontos trajetória,Blocos MATLAB,N blocos,Duração estimulação sensorial (s),Duração estimulação sensorial fórmula pretendida (s),Tempo 1,Tempo 2,Tempo 1 Corrigido,Tempo 3
59,ID_07,6,0.0,"[13, 9, 5, 1, 2, 6, 10, 14, 15, 16, 12, 8, 4, 3, 7, 11]",16,"[1, 4, 5, 8, 10, 13, 14, 16]",7,3.5,3.5,2019-01-09 10:43:30.576995,2019-01-09 10:43:30.576995,2019-01-09 10:43:27.076995,2019-01-09 10:43:45.582999
60,ID_07,7,0.0,"[13, 9, 10, 14, 15, 16, 12, 8, 4, 3, 7, 6, 5, 1]",14,"[1, 2, 3, 4, 6, 9, 10, 11, 13, 14]",9,4.5,4.5,2019-01-09 10:44:58.040995,2019-01-09 10:44:57.795995,2019-01-09 10:44:53.295995,2019-01-09 10:45:13.048005
61,ID_07,8,0.0,"[13, 14, 15, 16, 12, 11, 7, 8, 3, 2, 1, 5, 9, 10]",14,"[1, 4, 5, 6, 7, 11, 13, 14]",7,3.5,3.5,2019-01-09 10:46:21.755005,2019-01-09 10:46:21.755005,2019-01-09 10:46:18.255005,2019-01-09 10:46:36.762004
62,ID_07,9,0.0,"[13, 9, 5, 6, 10, 11, 11, 15, 16, 12, 8, 4, 3, 7]",14,"[1, 3, 4, 5, 8, 9, 12, 13, 14]",8,4.0,4.0,2019-01-09 10:47:50.722004,2019-01-09 10:47:50.722004,2019-01-09 10:47:46.722004,2019-01-09 10:48:05.727997
63,ID_07,1,0.25,"[13, 9, 5, 1, 2, 3, 7, 11, 12, 8, 4]",11,"[1, 4, 6, 8, 9, 11]",5,1.875,2.0,2019-01-09 10:49:14.817001,2019-01-09 10:49:14.572001,2019-01-09 10:49:12.697001,2019-01-09 10:49:29.824001
64,ID_07,2,0.25,"[13, 14, 10, 11, 12, 8, 4, 3, 2]",9,"[1, 2, 3, 5, 7, 9]",5,1.875,2.0,2019-01-09 10:50:41.163002,2019-01-09 10:50:40.916997,2019-01-09 10:50:39.041997,2019-01-09 10:50:56.168996
65,ID_07,3,0.25,"[13, 9, 5, 6, 10, 14, 15, 16, 12, 8, 4]",11,"[1, 3, 4, 6, 8, 11]",5,1.875,2.0,2019-01-09 10:52:07.127996,2019-01-09 10:52:07.127996,2019-01-09 10:52:05.252996,2019-01-09 10:52:22.134995
66,ID_07,4,0.25,"[13, 14, 15, 11, 10, 9, 5, 6, 7, 8, 4, 3, 2, 1]",14,"[1, 3, 4, 6, 7, 10, 11, 14]",7,2.625,2.75,2019-01-09 10:53:33.471995,2019-01-09 10:53:33.228001,2019-01-09 10:53:30.603001,2019-01-09 10:53:48.479005
67,ID_07,5,0.25,"[13, 9, 10, 11, 15, 16, 12, 8, 4, 3, 2, 1, 5]",13,"[1, 2, 4, 5, 6, 9, 12, 13]",7,2.625,2.75,2019-01-09 10:54:55.689001,2019-01-09 10:54:55.689001,2019-01-09 10:54:53.064001,2019-01-09 10:55:10.696000
68,ID_07,6,0.25,"[13, 9, 5, 1, 2, 6, 10, 14, 15, 16, 12, 8, 4, 3, 7, 11]",16,"[1, 4, 5, 8, 10, 13, 14, 16]",7,2.625,2.75,2019-01-09 10:56:17.916004,2019-01-09 10:56:17.916004,2019-01-09 10:56:15.291004,2019-01-09 10:56:32.921998
69,ID_07,7,0.25,"[13, 9, 10, 14, 15, 16, 12, 8, 4, 3, 7, 6, 5, 1]",14,"[1, 2, 3, 4, 6, 9, 10, 11, 13, 14]",9,3.375,3.5,2019-01-09 10:57:40.144003,2019-01-09 10:57:40.144003,2019-01-09 10:57:36.769003,2019-01-09 10:57:55.149997
70,ID_07,8,0.25,"[13, 14, 15, 16, 12, 11, 7, 8, 3, 2, 1, 5, 9, 10]",14,"[1, 4, 5, 6, 7, 11, 13, 14]",7,2.625,2.75,2019-01-09 10:59:03.875001,2019-01-09 10:59:03.875001,2019-01-09 10:59:01.250001,2019-01-09 10:59:18.881005
71,ID_07,9,0.25,"[13, 9, 5, 6, 10, 11, 11, 15, 16, 12, 8, 4, 3, 7]",14,"[1, 3, 4, 5, 8, 9, 12, 13, 14]",8,3.0,3.125,2019-01-09 11:00:29.850002,2019-01-09 11:00:29.850002,2019-01-09 11:00:26.850002,2019-01-09 11:00:44.855996
72,ID_07,1,0.5,"[13, 9, 5, 1, 2, 3, 7, 11, 12, 8, 4]",11,"[1, 4, 6, 8, 9, 11]",5,1.25,1.5,2019-01-09 11:01:55.069999,2019-01-09 11:01:55.069999,2019-01-09 11:01:53.819999,2019-01-09 11:02:10.076998
73,ID_07,2,0.5,"[13, 14, 10, 11, 12, 8, 4, 3, 2]",9,"[1, 2, 3, 5, 7, 9]",5,1.25,1.5,2019-01-09 11:03:19.175004,2019-01-09 11:03:18.931000,2019-01-09 11:03:17.681000,2019-01-09 11:03:34.182004
74,ID_07,3,0.5,"[13, 9, 5, 6, 10, 14, 15, 16, 12, 8, 4]",11,"[1, 3, 4, 6, 8, 11]",5,1.25,1.5,2019-01-09 11:04:48.147002,2019-01-09 11:04:48.147002,2019-01-09 11:04:46.897002,2019-01-09 11:05:03.154002
75,ID_07,4,0.5,"[13, 14, 15, 11, 10, 9, 5, 6, 7, 8, 4, 3, 2, 1]",14,"[1, 3, 4, 6, 7, 10, 11, 14]",7,1.75,2.0,2019-01-09 11:06:11.871000,2019-01-09 11:06:11.871996,2019-01-09 11:06:10.121996,2019-01-09 11:06:26.877999
